Profile,average_duration,median_duration,min_duration,max_duration,25th_percentile_duration,50th_percentile_duration,75th_percentile_duration,average_visited_nodes,median_visited_nodes,min_visited_nodes,max_visited_nodes,25th_percentile_visited_nodes,50th_percentile_visited_nodes,75th_percentile_visited_nodes,correlation_coefficient
car_parking profile,13038.2115,3289.0,0.0,161320.0,61.0,3289.0,19464.75,18368.160125,6272.5,1.0,118526.0,175.0,6272.5,29549.5,0.9779290169448915
composite profile,19199.26875,4214.5,0.0,353350.0,84.0,4214.5,27376.0,18907.20975,6296.5,1.0,124210.0,175.0,6296.5,29894.25,0.9129786522025138
