thread index,duration in microseconds,visited nodes
0,127,343
0,29,87
0,0,1
0,22864,32279
0,15039,22821
0,153,395
0,50256,67732
0,51334,65182
0,30669,45614
0,32,78
0,18947,27111
0,37321,50319
0,27468,39631
0,30,55
0,49,114
0,43689,62034
0,41337,50702
0,37740,45350
0,74,244
0,13468,19952
0,15858,23782
0,13,13
0,37,87
0,7,18
0,33,80
0,141,411
0,56,141
0,11,32
0,7,6
0,39083,52905
0,37976,50398
0,3610,6585
0,57,204
0,52574,69550
0,9,22
0,14,26
0,4793,8594
0,42904,62894
0,41,98
0,608,2766
0,17749,26611
0,69,192
0,97309,107955
0,33520,45910
0,36674,47480
0,32113,45241
0,40,59
0,83121,97267
0,3,6
0,18,36
0,41625,52099
0,91,118
0,492,2076
0,72,359
0,25957,38908
0,171,407
0,37525,47809
0,715,2403
0,161,577
0,559,2262
0,80,275
0,54,172
0,21489,30280
0,7830,12950
0,205,616
0,2228,5150
0,36,89
0,716,3562
0,35406,52642
0,25854,37040
0,19,36
0,76961,93997
0,75,164
0,31681,41610
0,17124,26437
0,82,223
0,15736,24728
0,1253,4649
0,8423,13871
0,9376,15152
0,51,122
0,93,264
0,25,64
0,233,1016
0,322,1265
0,40,116
0,41288,58516
0,10093,15204
0,13505,20895
0,26057,36838
0,67,173
0,12305,20118
0,69,147
0,39925,48673
0,2819,5714
0,37366,52686
0,4865,8283
0,68,215
0,12,27
0,42,180
0,33248,49327
0,45,98
0,13023,20735
0,42,94
0,84,234
0,41,127
0,86,168
0,787,3290
0,7,16
1,21190,16630
1,79,200
1,16,53
1,5872,9769
1,7960,12559
1,15731,17760
1,275,916
1,72186,76862
1,26,48
1,213,816
1,47005,61442
1,619,1154
1,28,69
1,11498,17318
1,9147,14789
1,764,3310
1,2,5
1,34000,46249
1,80197,95183
1,55,90
1,28641,39605
1,57632,76392
1,5182,8761
1,2294,4378
1,27792,42184
1,389,1172
1,37,121
1,47,184
1,24032,34493
1,17,32
1,39,98
1,10062,18787
1,14288,23834
1,59502,87771
1,67,158
1,0,1
1,51,133
1,10,22
1,19776,30271
1,34,90
1,37616,54516
1,64,155
1,4592,8960
1,2662,5510
1,29380,42115
1,0,1
1,5939,11818
1,28171,42333
1,714,2837
1,267,1195
1,48,123
1,14944,24801
1,18676,27701
1,255,844
1,201,863
1,31,136
1,2171,4473
1,11022,18965
1,25982,38583
1,77434,87976
1,34,76
1,34489,21396
1,23,45
1,85583,46195
1,48,112
1,30,87
1,13178,22125
1,2298,4717
1,10616,17340
1,11504,18819
1,27036,39844
1,17375,26568
1,670,2400
1,0,1
1,1023,5141
1,15,33
1,35557,52035
1,33,78
1,90,248
1,3438,6307
1,32710,43565
1,39558,61195
1,1027,2062
1,88,343
1,16237,25750
1,208,625
1,168,698
1,83,396
1,64,272
1,40,159
1,69,317
1,37569,52682
1,5937,9702
1,6853,12241
1,41960,62740
1,305,906
1,23347,33699
1,50,113
1,14860,25027
1,120,318
1,105153,69117
1,284,763
1,26149,42968
1,51282,68936
1,49,100
1,35,84
1,80,229
